"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.7","172.217.166.174","TCP","54","1634  >  443 [ACK] Seq=1 Ack=1 Win=260 Len=0"
"2","0.197604","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"3","0.198838","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"4","0.198871","192.168.0.7","183.87.151.14","UDP","79","53289  >  443 Len=37"
"5","0.199719","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"6","0.199978","192.168.0.7","183.87.151.14","UDP","81","53289  >  443 Len=39"
"7","0.201371","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"8","0.203823","192.168.0.7","183.87.151.14","UDP","78","53289  >  443 Len=36"
"9","0.206354","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"10","0.206355","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"11","0.206356","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"12","0.206357","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"13","0.206357","172.217.160.174","192.168.0.7","UDP","62","443  >  55106 Len=20"
"14","0.207682","192.168.0.7","183.87.151.14","UDP","87","53289  >  443 Len=45"
"15","0.207875","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"16","0.207876","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"17","0.207877","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"18","0.208737","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"19","0.208738","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"20","0.208952","192.168.0.7","183.87.151.14","UDP","90","53289  >  443 Len=48"
"21","0.209333","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"22","0.210935","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"23","0.210935","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"24","0.210936","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"25","0.211099","192.168.0.7","183.87.151.14","UDP","87","53289  >  443 Len=45"
"26","0.211650","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"27","0.212918","192.168.0.7","183.87.151.14","UDP","78","53289  >  443 Len=36"
"28","0.213047","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"29","0.213048","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"30","0.213049","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"31","0.213474","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"32","0.214917","192.168.0.7","183.87.151.14","UDP","87","53289  >  443 Len=45"
"33","0.215049","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
"34","0.215050","183.87.151.14","192.168.0.7","UDP","1392","443  >  53289 Len=1350"
